Publication Title,Gazette Date,Year,Gazette Number,Publication Type,Author/Translator,Publisher,Publication Origin,Printer,Language,Cluster,Subcluster,Act,Justification,Notes
Seeds Of The Rainbow - Part 1 And 2,1970-12-31,1970,P.U (A) 458,Printed Documents,Robert Desmond,The Olympia Press,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Lighting Road,1970-12-31,1970,P.U (A) 458,Printed Documents,Mullin Garr,The Olympia Press,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Who Pushed Paula-Part 1 And 2,1970-12-31,1970,P.U (A) 458,Printed Documents,Akhbar Del Piombo,The Olympia Press,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
The She Devils - Part 1 And Part 2,1970-12-31,1970,P.U (A) 458,Printed Documents,Peter Lewis,Othelia Press,Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Gin Ang Lime Steet,1970-12-31,1970,P.U (A) 458,Printed Documents,Adam Aymes,Ophelia Press,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
House Of Borgia - Part 3 And 4,1970-12-31,1970,P.U (A) 458,Printed Documents,Marcus Van Heller,Ophelia Press,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Milady - Part 1 And 2,1970-12-31,1970,P.U (A) 458,Printed Documents,Jack Olley,Oceanic Press,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Love Together,1970-12-31,1970,P.U (A) 458,Printed Documents,,,Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Cruise To The End Of Love - Part 2,1970-12-31,1970,P.U (A) 458,Printed Documents,Orville Newton,Mediterranian Press,Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
My Mother Taught Me,1971-07-15,1971,P.U. (A) 241,Printed Documents,Tor Kung,The Ophelia Press Inc,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Gone With The Whip,1971-07-15,1971,P.U. (A) 241,Printed Documents,Marcus Van Heller,The Ophelia Press Inc,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
The Ball Carrier,1971-07-15,1971,P.U. (A) 241,Printed Documents,Keith Kerner,The Ophelia Press Inc,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Spreadengle,1971-07-15,1971,P.U. (A) 241,Printed Documents,Marcus Van Heller,"The Olympia Press, Inc",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Seduction Of Suzy,1971-07-15,1971,P.U. (A) 241,Printed Documents,Marcus Van Heller,The Olympia Press,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Seeds Of The Rainbow I And Ii,1971-07-15,1971,P.U. (A) 241,Printed Documents,Robert Desmond,The Olympia Press,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Bedroom Philosophers Part I And Ii,1971-07-15,1971,P.U. (A) 241,Printed Documents,D.A.F. De Sade,The Olympia Press,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
The Adventures Of Fllea Silas Part I,1971-07-15,1971,P.U. (A) 241,Printed Documents,Beauregard Of Rarniente,The Olympia Press,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Sexus,1971-07-15,1971,P.U. (A) 241,Printed Documents,Henry Miller,Panther Books Ltd.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Lash Part 2,1971-07-15,1971,P.U. (A) 241,Printed Documents,Ruth Lexe,Othello Books,Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Gin And Lime Street,1971-07-15,1971,P.U. (A) 241,Printed Documents,Adam Aymes,Ophelia Press Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Honey Leaf,1971-07-15,1971,P.U. (A) 241,Printed Documents,Marcus Van Heller,Ophelia Press Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Adventure Of A Flea Part 1,1971-07-15,1971,P.U. (A) 241,Printed Documents,Marcus Van Heller,Olympia Press,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Under The Birch Part I And Ii,1971-07-15,1971,P.U. (A) 241,Printed Documents,Miles Underwood,Olympia Press,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Milady Part I And Ii,1971-07-15,1971,P.U. (A) 241,Printed Documents,Robert Olley,Oceanic Press,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
The Trend Setters No.50 Part I And Ii,1971-07-15,1971,P.U. (A) 241,Printed Documents,Robert Cleveland,Nordisk Bladcentral,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Three Passionate Lovers Part Ii,1971-07-15,1971,P.U. (A) 241,Printed Documents,Rene Roques,,Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Nights In Scotland Part I And Ii,1971-07-15,1971,P.U. (A) 241,Printed Documents,Carol Paterson,,Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
My Secret Life,1971-07-15,1971,P.U. (A) 241,Printed Documents,G. Lecman,Grove Press Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
Coupled,1971-07-15,1971,P.U. (A) 241,Printed Documents,Gill Porter,Essex House,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Mysteries Of Marriages,1971-07-15,1971,P.U. (A) 241,Printed Documents,Dr S. M. Shaw,Ellis And Martyn,Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Only A Boy,1971-07-15,1971,P.U. (A) 241,Printed Documents,,Collectors Publication,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Rita!,1971-07-15,1971,P.U. (A) 242,Printed Documents,Rick Hardesty,"Bee-Line Books, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Make Out Cult,1971-07-15,1971,P.U. (A) 242,Printed Documents,James Hillman,"Bee-Line Books, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Blow My Mind,1971-07-15,1971,P.U. (A) 242,Printed Documents,Wally Martin,"Bee-Line Books, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Stud Machine,1971-07-15,1971,P.U. (A) 242,Printed Documents,Michael Spear,"Bee-Line Books, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Ball Me Again!,1971-07-15,1971,P.U. (A) 242,Printed Documents,Pauline Ford,"Bee-Line Books, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Pussy Delight,1971-07-15,1971,P.U. (A) 242,Printed Documents,Renaud Fuchs,"Bee-Line Books, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Honey Pot,1971-07-15,1971,P.U. (A) 242,Printed Documents,Jackson Harmon,"Bee-Line Books, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Backyard Orgy,1971-07-15,1971,P.U. (A) 242,Printed Documents,Rhetta Charles,"Bee-Line Books, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
B Is For Balling,1971-07-15,1971,P.U. (A) 242,Printed Documents,Chuck Selwyn,"Bee-Line Books, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Ginger Baby,1971-07-15,1971,P.U. (A) 242,Printed Documents,James Malcolm,"Bee-Line Books, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
The Sex Pets,1971-07-15,1971,P.U. (A) 241,Printed Documents,Joseph R. Reynolos,Bee-Line Books New York,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Make-Out Cult,1971-07-15,1971,P.U. (A) 242,Printed Documents,James Hillman,Bee-Line Books,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
"Nude Wore Black,The",1971-08-26,1971,P.U. (A) 276,Printed Documents,Teo Mark,"Lancer Books,Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Girl With The Polka-Dot Box,1971-08-26,1971,P.U. (A) 276,Printed Documents,F.W. Paul,Lancer Books Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
The Fires Of Lust,1971-08-26,1971,P.U. (A) 276,Printed Documents,Jean Francis,Lancer Books Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
The Taboo Breakers,1971-08-26,1971,P.U. (A) 276,Printed Documents,Warren Wells,Lancer Books Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
In The Solid Gold Screw,1971-08-26,1971,P.U. (A) 276,Printed Documents,F.W. Paul,Lancer Books Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
The Lay Of The Land,1971-08-26,1971,P.U. (A) 276,Printed Documents,F.W. Paul,Lancer Books Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
The Nude Ware Black,1971-08-26,1971,P.U. (A) 276,Printed Documents,Ted Mark,Lancer Books Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Another Piece Of Fanny,1971-08-26,1971,P.U. (A) 276,Printed Documents,Norman Jackson,Lancer Books Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Mistress Of The Lash,1971-08-26,1971,P.U. (A) 276,Printed Documents,Robery Vaughan,Lancer Books Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
A Lovely Cherry,1971-08-26,1971,P.U. (A) 276,Printed Documents,William Mc Ardle,Continental Classics,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Come Again,1971-08-26,1971,P.U. (A) 276,Printed Documents,Carlos Rossi,Continental Classics,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Blow Me Down,1971-08-26,1971,P.U. (A) 276,Printed Documents,Webster Tate,Continental Classics,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Dr. Gigolo,1971-08-26,1971,P.U. (A) 276,Printed Documents,Anthony Holcomb,Continental Classics,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Secret Climax,1971-08-26,1971,P.U. (A) 276,Printed Documents,Victor De Laroche,Continental Classics,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Frug Me Again,1971-08-26,1971,P.U. (A) 276,Printed Documents,Jack Aurora,Continental Classics,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Alovely Cherry,1971-08-26,1971,P.U. (A) 276,Printed Documents,William Mc Ardle,Continental Classics,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Dr.Gigolo,1971-08-26,1971,P.U. (A) 276,Printed Documents,Anthony Holcomb,Continental Classics,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Secret Climax,1971-08-26,1971,P.U. (A) 276,Printed Documents,Victor De La Roche,Continental Classics,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Unfinished Molesting,1972-02-24,1972,P.U. (A) 45,Printed Documents,Wen Chuin,,Unclear,,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Temptation Of The Hot Spring,1972-02-24,1972,P.U. (A) 45,Printed Documents,,,Unclear,,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,Lack Of Information
Interview For Getting The Best Sexual Partner,1972-02-24,1972,P.U. (A) 45,Printed Documents,Yung Yung,,Unclear,,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Armoured Car Of The Flesh War,1972-02-24,1972,P.U. (A) 45,Printed Documents,,,Unclear,,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Blossom Flowers And The Full Moon,1972-02-24,1972,P.U. (A) 45,Printed Documents,,,Unclear,,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Blossom Spring Of The Fruit Plantation,1972-02-24,1972,P.U (A) 45,Printed Documents,Hsia Fei,Amusement Publishing Society,Unclear,,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,Change Subcluster From Porn To Erotic.
Sexual History Of The Various Countries,1972-02-24,1972,P.U (A) 45,Printed Documents,Hsia Fei,Amusement Publishing Society,Unclear,,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,Change Subcluster From Porn To Erotic.
Key Hole Peeping Tom,1972-02-24,1972,P.U (A) 45,Printed Documents,Hsia Fei,Amusement Publishing Society,Unclear,,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,Change Subcluster From Porn To Erotic.
High School Hotbed,1972-07-13,1972,P.U (A) 225,Printed Documents,Jan Cheux,,Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Bang Man,1972-07-13,1972,P.U (A) 225,Printed Documents,Phil Powers,,Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Girl Gone Down,1972-07-13,1972,P.U (A) 225,Printed Documents,William,,Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Swap Street,1972-07-13,1972,P.U (A) 225,Printed Documents,Robert H. Sheldon,,Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Honeymoon Hotel,1972-07-13,1972,P.U (A) 225,Printed Documents,Michael Jaeggers,Liverpool Library Press,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
The Reluctant Couple,1972-07-13,1972,P.U (A) 225,Printed Documents,Grant Roberts,Liverpool Library Press,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Big Man In The Saddle,1972-10-05,1972,P.U (A) 315,Printed Documents,Mullin Garr,Ophelia Press Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Dandy Of London,1972-11-23,1972,P.U (A) 368,Printed Documents,Chin His Wen,Playboy's Club,Foreign,,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Attractive Younger Sister-In-Law,1972-11-23,1972,P.U (A) 368,Printed Documents,Chin Sha,,Unclear,,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Unfaithful Wife,1972-11-23,1972,P.U (A) 368,Printed Documents,Lang Tzu,,Unclear,,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
To Paradise By Night,1972-11-23,1972,P.U (A) 368,Printed Documents,Yeh Yu Keh,,Unclear,,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
The Lovely Affair Of A Dissolute Women,1972-11-23,1972,P.U (A) 368,Printed Documents,,,Unclear,,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Seduction All Over,1972-11-23,1972,P.U (A) 368,Printed Documents,Hsai Fei,,Unclear,,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Sex,1972-11-23,1972,P.U (A) 368,Printed Documents,Ai Lang,,Unclear,,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
The Queen Of Education,1972-11-23,1972,P.U (A) 368,Printed Documents,,,Unclear,,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Quadricycle,1973-05-17,1973,P.U (A) 130,Printed Documents,,,Unclear,,"[""Chinese""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
With Lips And Tongue,1973-05-24,1973,P.U. (A) 133,Printed Documents,Marcus Van Heller,"Traveller's Companion,Inc",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
The Love Makers,1973-05-24,1973,P.U (A) 133,Printed Documents,Marcus Van Heller,Traveller's Companion Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Willing Victim,1973-05-24,1973,P.U (A) 133,Printed Documents,Marcus Van Heller,Traveller's Companion Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Ape,1973-05-24,1973,P.U (A) 133,Printed Documents,Marcus Van Heller,Ophelia Press Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
So Many Beds,1973-05-24,1973,P.U (A) 133,Printed Documents,Martin Henry,,Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
I Margo,1973-05-24,1973,P.U (A) 133,Printed Documents,,,Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
King On Queen,1973-05-24,1973,P.U (A) 133,Printed Documents,F.W.Paul,Lancer Books Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Love 2,1973-05-24,1973,P.U (A) 133,Printed Documents,Sven Holm,Grove Press Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
It's Getting Harder All The Time,1974-12-26,1974,P.U (A) 445,Printed Documents,Troy Conway,Top Sellers Ltd.,Foreign,The Philips Park Press,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Fotostrip,1974-12-26,1974,P.U (A) 444,Printed Documents,,Top Sellers Ltd,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Three Loose Woman,1974-12-26,1974,P.U (A) 445,Printed Documents,William Hegner,Pocket Books,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Adam Film World,1974-12-26,1974,P.U (A) 444,Printed Documents,,Knight Publishing Corperation,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Curious,1974-12-26,1974,P.U. (A) 444,Printed Documents,,Kingsland Lott Publishing Co. Ltd,Foreign,Oxley Press Ltd,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Femme Fatale,1974-12-26,1974,P.U (A) 444,Printed Documents,,House Of Milan Corp.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Bondage Classics,1974-12-26,1974,P.U (A) 444,Printed Documents,,House Of Milan Corp.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Aggressive Gals,1974-12-26,1974,P.U (A) 444,Printed Documents,,House Of Milan Corp.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Bound In Terror,1974-12-26,1974,P.U (A) 444,Printed Documents,,Hilbarth Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Revenge Of The Wantons,1974-12-26,1974,P.U (A) 444,Printed Documents,,Hilbarth Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Finite Boundage,1974-12-26,1974,P.U (A) 444,Printed Documents,,Hilbarth Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Backstage Doll In Bondage,1974-12-26,1974,P.U (A) 444,Printed Documents,,Hilbarth Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
A Modelspet,1974-12-26,1974,P.U. (A) 445,Printed Documents,Allan Rogers,Gloucestor Publishing Co,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
The Stray Wife,1974-12-26,1974,P.U (A) 445,Printed Documents,Alfred Gold,Gloucester Publishing Co.S,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Mother Daughter & Son,1974-12-26,1974,P.U (A) 445,Printed Documents,Craig Summers,Gloucester Publishing Co.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
A Modalspet,1974-12-26,1974,P.U (A) 445,Printed Documents,Allan Rogers,Gloucester Publishing Co.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
The Black-Mailed Teacher,1974-12-26,1974,P.U (A) 445,Printed Documents,James Kent,Gloucester Publishing Co.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
An Innocent In Paris,1974-12-26,1974,P.U (A) 445,Printed Documents,Sidney Warren,Gloucester Publishing Co.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
The Swinger,1974-12-26,1974,P.U (A) 444,Printed Documents,,"G&S Publications, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Knave,1974-12-26,1974,P.U (A) 444,Printed Documents,,Fontessa Publication Ltd.,Foreign,Love & Malcomson Ltd,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Mayfair,1974-12-26,1974,P.U (A) 444,Printed Documents,,Fisk Publishing Co.Ltd,Foreign,Beric Press Ltd,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Family Vengeance,1974-12-26,1974,P.U (A) 444,Printed Documents,,Eros Publishing Co. Ltd,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Fetish And Fantasy,1974-12-26,1974,P.U (A) 444,Printed Documents,,Eros Publishing Co. Ltd,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
We All Need Someone,1974-12-26,1974,P.U (A) 444,Printed Documents,,Eros Publication Co.Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Scoring Dan Greenburg,1974-12-26,1974,P.U (A) 445,Printed Documents,,Dell Publishing Co. Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Blue Alice,1974-12-26,1974,P.U (A) 445,Printed Documents,Jackson Short,Dell Publishing Co. Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
A Stud Pack For The House Wife,1974-12-26,1974,P.U (A) 445,Printed Documents,Mark S. Wolin,Dansk Blue Books,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
New Chance,1974-12-26,1974,P.U (A) 444,Printed Documents,,Chance International Pub Ltd,Foreign,A.M Weston Ltd,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Love In The Family,1974-12-26,1974,P.U (A) 445,Printed Documents,Lydia Wilkingson,"Brandon Books,",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Adultery By Consent,1974-12-26,1974,P.U (A) 445,Printed Documents,Gerald Summers,"Brandon Books,",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
My Big Sister's Sin : Me,1974-12-26,1974,P.U (A) 445,Printed Documents,Peter Kevin,Braclay House,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Ghetto Incest,1974-12-26,1974,P.U (A) 445,Printed Documents,Ward Fulton,Barclay House,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,It Have Incest In The Title.
Bachelor Girls,1974-12-26,1974,P.U (A) 444,Printed Documents,,American Art Enterprises Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Soft Shoulders,1975-04-24,1975,P.U. (A) 119,Printed Documents,John Denis,"Midwood Publications, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Cloud Nine,1975-04-24,1975,P.U. (A) 119,Printed Documents,Roy L. Couch,"Midwood Publications, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Rosa's Way,1975-04-24,1975,P.U (A) 119,Printed Documents,Joseph Arrowsmith,"Midwood Publications, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Route 69,1975-04-24,1975,P.U. (A) 119,Printed Documents,Chris Harrison,"Midwood Publications, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Body Heat,1975-04-24,1975,P.U (A) 119,Printed Documents,Gerald Kramer,"Midwood Publications, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
So Bad,1975-04-24,1975,P.U (A) 119,Printed Documents,T.J Flowers,"Midwood Publications, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Pink Lips,1975-04-24,1975,P.U (A) 119,Printed Documents,Robert Conrad,"Midwood Publications, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Indoor Sports,1975-04-24,1975,P.U (A) 119,Printed Documents,Jack Walker,"Midwood Publications, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Busted,1975-04-24,1975,P.U (A) 119,Printed Documents,Dirk Rampat,"Midwood Publications, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Tycoon,1975-04-24,1975,P.U (A) 119,Printed Documents,Delmas Abbott,"Midwood Publications, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Obsession,1975-04-24,1975,P.U (A) 119,Printed Documents,H.M,"Midwood Publications, Inc.",Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Funny Half Hour,1975-10-16,1975,P.U (A) 330,Printed Documents,,Top Sellers Ltd,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
* Private,1975-10-16,1975,P.U (A) 330,Printed Documents,,Roafield Ltd.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
* Private Girl,1975-10-16,1975,P.U (A) 330,Printed Documents,,Roafield Ltd.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
* International Man,1975-10-16,1975,P.U (A) 330,Printed Documents,,"Revolt, Michael Holm, F=Geurt Stall,",Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Male Erotic Zones,1975-10-16,1975,P.U (A) 332,Printed Documents,,Regency Publishing Co.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
* Playgirl,1975-10-16,1975,P.U (A) 330,Printed Documents,,Playgirl Inc.,Foreign,Fawcett Printing Corp.,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
*Oui,1975-10-16,1975,P.U (A) 330,Printed Documents,,Playboy Publications Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
"* Playboy Past, Present, Future",1975-10-16,1975,P.U (A) 330,Printed Documents,,Playboy Publications Inc.,Foreign,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,,,
Bondage,1975-10-16,1975,P.U (A) 332,Printed Documents,,Ben's Books Ltd,Unclear,,"[""English""]",Obscene / Immoral Publications,Erotic/Immoral Content,"Akta Mesin Cetak Dan Penerbitan, 1984",Kemoralan,
