Publication Title,Gazette Date,Year,Gazette Number,Publication Type,Author/Translator,Publisher,Publication Origin,Printer,Language,Cluster,Subcluster,Notes,,
THOSE WHO BUILT STALINGRAD,1951-04-27,1951,L.N. 263,Printed Documents,M GORKY,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
THE ADVENTURE TSANG HAI-KE OF A PRINCE,1967-10-12,1967,P.U.487,Printed Documents,n/a,SHENG CHIU PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
DEVELOPED MAIDEN LAND,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
PICTURE BOOKS YANG KUEI HSIANG,1950-07-29,1950,L.N.331,Printed Documents,n/a,EDUCATION PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
"MAO TZE TUNG'S SELECTIONS,PART I,II,III,IV",1952-06-12,1952,L.N.329,Printed Documents,MAO TZE TUNG,PEOPLE'S PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
THE GLOBE TROTING OF A LIBERTINE,1967-10-12,1967,P.U.487,Printed Documents,n/a,TA TI PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
DEVELOPMENT OF SOCIALISTIC IDEOLOGY,1951-04-27,1951,L.N. 263.,Printed Documents,SHUM CHI YUEN,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
CHINAS OCTOBER,1950-07-29,1950,L.N.331,Printed Documents,CHING PE FANG CHIEN,POPULAR BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,"Communism/socialism, Revolutionary politics",,,
TIGHTEN SINO-RUSSIAN FRENDSHIP,1951-04-27,1951,L.N. 263,Printed Documents,n/a,STUDY COMMISSION OF THE C.C.P. TIENTSIN MUNICIPAL COUNCIL,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
A GIRL MASON,1967-10-12,1967,P.U.487,Printed Documents,n/a,HAI SHAN PUBLISHING SOCIETY,Foreign,THE CHINESE LANGUAGE,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
DIALECTIC MATERIALISM,1951-04-27,1951,L.N. 263.,Printed Documents,MART. B. MITIN,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
PICTURE BOOKS 3 GETTING INTO A SEDAN CHAIR,1950-07-29,1950,L.N.331,Printed Documents,n/a,HUA HSIA BOOKSHOP,Foreign,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
MAP COMMUNIST CHINA,1952-06-12,1952,L.N.329,Printed Documents,"KING CHUK ANN,CHEN CHI FONG,YOUNG PAK YU,KING CHING YU",AH KWONG GEOGRAPHICAL SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
A GIRL RUBBER TAPPER,1967-10-12,1967,P.U.487,Printed Documents,DR CHANG,KONG LIEN PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
DISCOURSE ON ECONOMICS,1951-04-27,1951,L.N. 263.,Printed Documents,TIK CHIN PAK,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SELECTED SONGS FOR THE MASSES,1950-07-29,1950,L.N.331,Printed Documents,LU CHI,KUANG HUN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
TILLING THE WILDS,1951-04-27,1951,L.N. 263,Printed Documents,n/a,TILLING THE WILDS PUBLICATION SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
A GIRL IN BANGKOK,1967-10-12,1967,P.U.487,Printed Documents,DR CHANG HSING,n/a,Foreign,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
DISCOURSE ON INTERNATIONAL PROBLEMS,1951-04-27,1951,L.N. 263.,Printed Documents,SARKEY,NAN HAI PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
PICTURE BOOKS NEW LIBERATED AREAS,1950-07-29,1950,L.N.331,Printed Documents,n/a,NEW VOICE PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
NEW ATTITUDE OF LIFE,1952-06-12,1952,L.N.329,Printed Documents,CHO YAT CHEONG AND OTHERS,THE NEW YOUTH PUBLISHING CO.HONGKONG,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
MY ROMANCE,1967-10-12,1967,P.U.487,Printed Documents,n/a,"WAN LI PUBLISHING SOCIETY,",Foreign,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
DISCOURSE ON WORLD POLITICAL GEOGRAPHY,1951-04-27,1951,L.N. 263.,Printed Documents,CHEN YUAN,LIFE BOOK CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,The book focus on political geography from a Marxist perspective,,
PICTURE BOOKS HEROIC FATHER,1950-07-29,1950,L.N.331,Printed Documents,n/a,NEW VOICE PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
KOUMODI VOL. II ISSUE NO. 42 VOL III ISSUE NO. 1,1952-06-12,1952,L.N. 329,Printed Documents,K. BALAKRISHNAN,n/a,Local,n/a,"[""Tamil""]",Subversive ideological and political content,Revolutionary politics,,,
CHERITA TERPILEH MENGENAI PAHLAWAN-PAHLAWAN REVOLUSI,1967-10-26,1967,P.U.501,Printed Documents,n/a,"BAHAGIAN DA'AYAH,PARTI RAKYAT BAHAGIAN SELANGOR",Local,BAHASA CHINA,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
DISCOURSES ON BASIS OF SOCIAL SCIENCES,1951-04-27,1951,L.N. 263.,Printed Documents,SHEN CHIH YUEN,CHI-YUEN BOOK.CO,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,The Home Ministry cited Act 301,,
LIN CHE HSU,1950-07-29,1950,L.N.331,Printed Documents,CHILDREN GOOD FRIENDS SOCIETY,WU CHOW BOOK STORE,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
TIMES FORWARD,1951-04-27,1951,L.N. 263,Printed Documents,VALENTIN PETROVICH KATAYEV,THE NEW CHINA BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
GEMA KEMARAHAN REVOLUSI,1967-10-26,1967,P.U.501,Printed Documents,n/a,"JAWATANKUASA SENDIWARA,19 CHAWANGAN ANTI BERHALUAN KANAN PARTI BUROH MALAYA,BAHAGIAN SELANGOR",Local,BAHASA CHINA,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
DISCOURSES ON ECONOMICS,1951-04-27,1951,L.N. 263.,Printed Documents,DI CHAO-PAI,NEW KNOWLEDGE BOOK CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
PICTURE BOOKS THE MARRIAGE OF YANG HSIAO LIN,1950-07-29,1950,L.N.331,Printed Documents,n/a,NEW VOICE PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
NEW CHINA & THE SOUTH SEAS CHINESE,1952-06-12,1952,L.N.329,Printed Documents,n/a,SINGAPORE NAM CHIAU PAU,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SELECTED STORIES OF REVOLUTIONARY HEROES,1967-10-26,1967,P.U.501,Printed Documents,n/a,"PROPAGANDA SECTION,SELANGOR DIVISION OF PARTY RAKYAT",Local,THE CHINESE LANGUAGE,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
DISCOURSES ON SOVIET LITERATURE,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
PICTURE BOOKS THE LAST DROP OF BLOOD,1950-07-29,1950,L.N.331,Printed Documents,n/a,NEW VOICE PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
TIMES OF RISING,1951-04-27,1951,L.N. 263,Printed Documents,CHOW YEW FUK,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
THE AGRY ROAR OF THE REVOLUTION,1967-10-26,1967,P.U.501,Printed Documents,n/a,"EDITORIAL SECTION,JOINT VARIETY SHOW",Foreign,THE CHINESE LANGUAGE,"[""Chinese""]",Subversive ideological and political content,"Communism/socialism, Revolutionary politics",,,
DOCUMENTS FOR STUDY BY PEOPLE'S P.C.C.,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,STUDY COMMISSION OF THE C.C.P. TIENTSIN MUNICIPAL COUNCIL,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
OCTOBER REVOLUTION AND CHINA,1950-07-29,1950,L.N.331,Printed Documents,n/a,READER'S BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,"Communism/socialism, Revolutionary politics",,,
NEW CHINA'S OCTOBER,1952-06-12,1952,L.N.329,Printed Documents,SI MAH MUN SUM,CHIN CHEUN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
BERITA BUROH,1967-10-26,1967,P.U.502,Printed Documents,n/a,PARTAI BUROH MALAYA BAHAGIAN JOHOR,Local,n/a,n/a,Subversive ideological and political content,Communism/socialism,Language unclear,,
EDUCATION AND LIFE OF CHILDREN IN SOVIET RUSSIA,1951-04-27,1951,L.N. 263.,Printed Documents,COMPILED BY EDITORS OF READERS PUBLISHING CO.,READER'S PUBLISHING CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
PICTURE BOOKS AN ACCOUNT OF THE REDRESS OF GRIEVANCES OF A BLIND MONTHLY PAID WORKER,1950-07-29,1950,L.N.331,Printed Documents,n/a,NEW VOICE PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
TIMES,1951-04-27,1951,L.N. 263,Printed Documents,n/a,THE TIMES BOOK AND NEWSPAPER PUBLISHING CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,"Communism/socialism, Revolutionary politics",,,
SUARA,1967-10-26,1967,P.U.502,Printed Documents,n/a,PENCHETAK SUARA SELANGOR,Local,BAHASA CHINA,"[""Chinese""]",Subversive ideological and political content,"Communism/socialism, Revolutionary politics",,,
EDUCATION WORKERS MANUAL,1951-04-27,1951,L.N. 263.,Printed Documents,FENG SHI,TA KUNG BOOKSTORE,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
RED EAST,1950-07-29,1950,L.N.331,Printed Documents,n/a,SHANGHAI MAGAZINE CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
NEW PHILOSOPHY OF LIFE,1952-06-12,1952,L.N.329,Printed Documents,YEE MING WONG,FUT SIN PRESS,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
BELIA BARU,1967-11-23,1967,P.U.535,Printed Documents,n/a,"JAWATANKUASA PUSAT DIAYAH,PELAJARAN DAN TERBITAN BARISAN SOSIALIS",Local,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
EMANCIPATION SERIES,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,EMANCIPATION SERIES PRESS,Foreign,FREEDOM NEWS,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
PICTURE BOOKS BLOOD AND TEAR FEUD,1950-07-29,1950,L.N.331,Printed Documents,n/a,NEW VOICE PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
TO HANG CHI,1951-04-27,1951,L.N. 263,Printed Documents,MAK CHING,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
PANGKALAN DAN PERANANJA MILITER ASING,1967-12-21,1967,P.U.606,Printed Documents,n/a,P.T. PENTJA,Foreign,BAHASA INDONESIA,"[""Indonesian""]",Subversive ideological and political content,Revolutionary politics,,,
ENGELS ON CAPITALISM,1951-04-27,1951,L.N. 263.,Printed Documents,TRANSLATED BY CHEUNG HON FU AND HUI TIK SUN,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,Promote Marxist critiques of capitalism,,
PICTURE BOOKS CHAO I MAN,1950-07-29,1950,L.N.331,Printed Documents,n/a,NEW VOICE PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
NEW THEORY ON PEOPLE'S LITERATURE,1952-06-12,1952,L.N.329,Printed Documents,LAM LOK,NEW DEMOCRACY PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
BAHAN-BAHAN HSUEH HSIH,1968-01-25,1968,P.U.27,Printed Documents,n/a,"PARTI RAKYAT DAN PARTI BUROH MALAYA,BAHAGIAN PERAK",Local,BAHASA CHINA,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
ESTABLISHMENT AND STRENGTHENING OF YOUTH DURING ANTI-BLOCKADE CAMPAIGN,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,YOUTH PUBLISHING CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,Promote communist youth movements,,
NEW SONGS,1950-07-29,1950,L.N.331,Printed Documents,MING MING,CHUNG HUA MUSICAL STUDIES SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
THONDU,1952-06-12,1952,L.N. 329,Printed Documents,"V. VEERASAMY, B.A.",n/a,Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Revolutionary politics,,,
SELECTED MILITARY WRITINGS OF MAO TSE-TUNG(TULISAN-TULISAN ASKAR TERPILIH MAO TSE-TUNG,1968-01-25,1968,P.U.28,Printed Documents,n/a,"FOREIGN LANGUAGES PRESS,PEKING,1996",Foreign,BAHASA INGGERIS,"[""English""]",Subversive ideological and political content,Communism/socialism,,,
EXPOSITION OF NEW INTERNATIONAL SITUATION,1951-04-27,1951,L.N. 263.,Printed Documents,CHANG TIET SHENG,UNITED CHINA PUBLISHING CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,Analyse global politics from a communist perspective; flagged under Act 301,,
PICTURE BOOKS WHITE HAIRED WOMAN,1950-07-29,1950,L.N.331,Printed Documents,n/a,EDUCATION PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
TRADE UNIONS IN SOVIET UNION,1951-04-27,1951,L.N. 263,Printed Documents,n/a,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
RECORD OF EXCHANGE OF WIVES,1968-03-07,1968,P.U.97,Printed Documents,YEH SHIH,CHU FENG BOOKSTORE,Foreign,THE CHINESE LANGUAGE,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
FACTORY WITH THREE MEDALS,1951-04-27,1951,L.N. 263.,Printed Documents,COLIELIK,EPOCH PUBLISHING CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
PICTURE BOOKS THE HAPPINESS OF RESURGENCE,1950-07-29,1950,L.N.331,Printed Documents,n/a,EDUCATION PUBLISHING SOCIETY,Foreign,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
ON LIBERATION OF WOMEN,1952-06-12,1952,L.N.329,Printed Documents,"MARX, STALIN, LENIN",NEW DEMOCRACY PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SPRING AND LOVE,1968-03-07,1968,P.U.97,Printed Documents,n/a,n/a,Unclear,n/a,n/a,General/Unindentified,Administrative/Unclear Ground,,,
FAMILY OF LANDLORDS,1951-04-27,1951,L.N. 263.,Printed Documents,SHEHEDRIN,THE NEW CHINA BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
PICTURE BOOKS LIU CHI TAN PEOPLE'S HERO,1950-07-29,1950,L.N.331,Printed Documents,n/a,POPULAR ART PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
ON PARTY'S INTERNAL STRUGGLE,1952-06-12,1952,L.N.329,Printed Documents,LIU SHAO CHEE,n/a,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
RECORD OF SELECTING WOMEN,1968-03-07,1968,P.U.97,Printed Documents,WOMEN SEEKER,YU LIEN PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
FEUDALISM,1951-04-27,1951,L.N. 263.,Printed Documents,KURSMINSKY,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
TRAVELS IN LIBERATED AREA,1951-04-27,1951,L.N. 263,Printed Documents,CHAN HOK CHIU,SHANGHAI PUBLISHING CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
MENGERITIK DAN MENYANGKAL JALAN YANG SALAH BAGI REVISIONISM KELUARAN KHAS BERTARIKH OKTOBER 1967,1968-04-18,1968,P.U.156,Printed Documents,n/a,n/a,Unclear,BAHASA CHINA,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
FIRST FLIGHT,1951-04-27,1951,L.N. 263.,Printed Documents,"HAN MENG, PAN SUN",EQUATOR PRESS,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
A STUDY OF THE HISTORY THE DEVELOPMENT OF SOCIETY,1950-07-29,1950,L.N.331,Printed Documents,SIAO TANG,TRUTH BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
OPPOSE OLD IDEAS IN THE PARTY,1952-06-12,1952,L.N.329,Printed Documents,n/a,HUNG MIN PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,"Revolutionary politics, Communism/socialism",,,
"BENDERA,KELUARAN NO.2",1968-04-18,1968,P.U.157,Printed Documents,n/a,"JAWATANKUASA DA'AYAH,PARTI RAKYAT,BAHAGIAN SELANGOR",Local,BAHASA CHINA,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
FLYING SPARKS OF WAR,1951-04-27,1951,L.N. 263.,Printed Documents,LUI PAI -YU,SIN HWA BOOKSTORE,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
PICTURE BOOKS BALLARDS OF THE YEAR OF RESURGENCE,1950-07-29,1950,L.N.331,Printed Documents,n/a,POPULAR ART PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
TRUE NEWS,1951-04-27,1951,L.N. 263,Printed Documents,n/a,TRUE NEWS PRESS,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SUARA PEMBEBASAN,1968-05-02,1968,P.U.188,Printed Documents,n/a,SHARIKAT MENYIAR SUARA PEMBEBASAN,Local,BAHASA CHINA,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
FOOK KWEI,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,PO KAP PUBLISHING CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
PICTURE BOOKS THE GALLANT HERO,1950-07-29,1950,L.N.331,Printed Documents,n/a,SIN HUA BOOKSHOP 10 NORTHEAST PICTORIAL SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
OVERSEAS,1952-06-12,1952,L.N.329,Printed Documents,HON MENG,n/a,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
"TAMBAHAN KHAS MERAYAKAN ULANG TAHUN KETUJUH SARAWAK UNITED PEOPLES PARTY,BAHAGIAN MIRI BAGI SEE HUA DAILY NEWS BERTARIKH 10HB NOVEMBER 1967",1968-05-09,1968,P.U.191,Printed Documents,n/a,SEE HUA DAILY NEWS CO.LTD,Local,BAHASA CHINA,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
FORWARD PROGRESSIVE ROAD,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,YOUTH PUBLISHING CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
HOW TO ORGANISE A STUDY SUB-COMMUTTEE,1950-07-29,1950,L.N.331,Printed Documents,SHUN MIN AND OTHERS,NEW YOUTH PUBLISHING SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
TUANTY-FIVE THOUSAND LONG MARCH,1951-04-27,1951,L.N. 263,Audio/Recordings,n/a,WAH TUNG BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
LUSTFUL DREAMS,1968-05-23,1968,P.U. 217,Printed Documents,HSIA FEI,AMUSEMENT PUBLISHING SOCIETY,Foreign,CHINESE LANGUAGE,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
FREDERICK ENGELS-BIOGRAPHY,1951-04-27,1951,L.N. 263.,Printed Documents,GUSTAV MAYER,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
GLORY TO THE PEOPLES' REPUBLIC OF CHINA,1950-07-29,1950,L.N.331,Printed Documents,n/a,HUA FUNG BOOK CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
PHILOSOPHY FOR THE GENERAL MASSES,1952-06-12,1952,L.N.329,Printed Documents,NGAI SEE KEI,NAM FONG BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
