Publication Title,Gazette Date,Year,Gazette Number,Publication Type,Author/Translator,Publisher,Publication Origin,Printer,Language,Cluster,Subcluster,Notes,,
EVERY RED FLOWER IS FACING THE SUN,1967-07-06,1967,P.U.297,Printed Documents,n/a,n/a,Foreign,THE CHINESE LANGUAGE,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
CHUN CHAU FORTNIGHTLY,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,CHUN CHAU PUBLISHING CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
BEWITHCHING WIDOW,1950-07-29,1950,L.N.331,Printed Documents,TIEN YA KU KE,TUNG HSING BOOK STORE,Foreign,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
TALKS ON YOUTH CULTIVATION,1951-04-27,1951,L.N. 263,Printed Documents,CHOW YUEN BING,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
Chenderamata perayaan bersama hari buroh kesatuan-kesatuan sekerja 1967,1967-07-20,1967,P.U.317,Printed Documents,n/a,National Union of Employees in the Electrical Industry,Local,THE CHINESE LANGUAGE AND MALAY LANGUAGE,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
CHUNG HWA YOUTHS,1951-04-27,1951,L.N. 263.,Printed Documents,CHANG MUNG LIN,CHUNG HWA BOOK CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
YOUTHS' STUDY PROBLEMS,1950-07-29,1950,L.N.331,Printed Documents,YANG KUEI TSANG,HUA HSIA BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
MARCH 8 INTERNATIONAL WOMEN'S DAY SOUVENIR 1967,1967-07-20,1967,P.U 318,Printed Documents,n/a,CENTRAL COMMITTEE OF THE WOMEN'S SECTION OF THE LABOUR PARTY OF MALAYA,Local,THE CHINESE LANGUAGE,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
COLLECTED ESSAYS ON NEW MUSIC,1951-04-27,1951,L.N. 263.,Printed Documents,LUI YIK,THE KWONG WAH BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
YOUTH AND LABOUR,1950-07-29,1950,L.N.331,Printed Documents,HSIN HUAI,NAN KUO BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
KARL MARX THE IDEOLOGIST AND REVOLUTIONIST,1952-06-12,1952,L.N.329,Printed Documents,TAN KAK SZ,"SAM LUEN BOOKSHOP,MANCHURIA",Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
CHEN HSIEN PAO,1967-07-20,1967,P.U 319,Printed Documents,n/a,BARISAN SOSIALIS,Local,THE CHINESE LANGUAGE,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
COLLECTION OF FAMILY LETTER'S OF LENIN,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
TEACHERS OF PEIPING,1951-04-27,1951,L.N. 263,Printed Documents,n/a,PEIPING TEACHERS SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
TONG PO KONG SPECIAL EDITION,1967-08-31,1967,P.U. 398,Printed Documents,n/a,"PARTY RAKYAT MALAYA,LABOUR PARTY MALAYA PERAK DIVISION",Local,THE CHINESE LANGUAGE,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
COLLECTION OF THESES TO COMMEMORATE 32ND ANNIVERSARY OF OCTOBER REVOLUTION,1951-04-27,1951,L.N. 263.,Printed Documents,STUDY COMM. OF THE C.C.P. TIENTSIN MUNICIPAL COUNCIL,STUDY COMMISSION OF THE C.C.P. TIENTSIN MUNICIPAL COUNCIL,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
LIBERATION SONGS,1950-07-29,1950,L.N.331,Printed Documents,TSAO PE HAN,SIN HUA BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
TEXTBOOK OF CHINESE HISTORY OF LAST HUNDRED YEARS,1951-04-27,1951,L.N. 263,Printed Documents,CHANG CHIEN FU,CULTURAL SUPPLY CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
BIOGRAPHY OF SU NU OF TANG,1967-10-12,1967,P.U. 487,Printed Documents,PEI HUNG,GOOD FRIENDS PUBLISHING SOCIETY,Foreign,THE CHINESE LANGUAGE,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
CONCISE HISTORY OF WESTERN PHILOSOPHY,1951-04-27,1951,L.N. 263.,Printed Documents,SIKOLOV,THE NEW CHINA BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
ENCHANTING LADY,1950-07-29,1950,L.N.331,Printed Documents,TIEN YU KU KE,SHIH HSING BOOK STORE,Foreign,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
KUO KOON TAI,1952-06-12,1952,L.N.329,Printed Documents,AU YONG SHAN,SIN HWA BOOK CO.SHANGHAI,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
COURSE OF RUSSIAN,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,LIBERATION SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
TEN LECTURES ON THE LATEST 100 YEARS OF THE HISTORY OF CHINA,1950-07-29,1950,L.N.331,Printed Documents,CHEN CHI YUAN,LO CHUN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
TEXTBOOK ON SOCIOLOGY,1951-04-27,1951,L.N. 263,Printed Documents,WANG PO LUN,SHIN CHOW KWOK-KWANG SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
PASSION OF FIRE UNKNOWN (VOL.1),1967-10-12,1967,P.U.487,Printed Documents,n/a,SIN CHIH PUBLISHING SOCIETY,Foreign,n/a,n/a,General/Unindentified,Administrative/Unclear Ground,Cannot determine the title insinuates immoral content or revolution,,
CZECHOSLOVAKIA,1951-04-27,1951,L.N. 263.,Printed Documents,MEDVIEJIEV,EPOCH PUBLISHING CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
BEANCURD BEAUTY,1950-07-29,1950,L.N.331,Printed Documents,SHEN SHU SHENG PI CHI,SHIH HSING BOOK STORE,Foreign,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
LETTER TO THE BEGINNER WHO WISHES TO WRITE,1952-06-12,1952,L.N.329,Printed Documents,RUSSIAN LITERARY ADVISORY COMMITTEE,SAN LIAN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
THE BEWITCHING WOMAN AND THE INFATUATED MAN,1967-10-12,1967,P.U.487,Printed Documents,n/a,n/a,Unclear,n/a,n/a,General/Unindentified,Administrative/Unclear Ground,,,
DAYS AND NIGHTS,1951-04-27,1951,L.N. 263.,Printed Documents,SIMONEV,FOREIGN LANGUAGE PUBLISHING CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,Soviet novel that reflects socialist values (Red Army's collective effort and loyalty to the state),,
INFATUATED LOVERS,1950-07-29,1950,L.N.331,Printed Documents,SHEN HSIU,SHIH HSING BOOK STORE,Foreign,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
HUL-CHUL,1952-06-12,1952,L.N. 329,Printed Documents,PARAS NAT RAI,n/a,Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Revolutionary politics,,,
PASSION OF FIRE (VOL.II),1967-10-12,1967,P.U.487,Printed Documents,n/a,n/a,Unclear,n/a,n/a,General/Unindentified,Administrative/Unclear Ground,,,
DEFEND WORLD PEACE,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,STUDY COMMISSION OF THE C.C.P. TIENTSIN MUNICIPAL COUNCIL,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
A MODERN HISTORY OF CHINA,1950-07-29,1950,L.N.331,Printed Documents,FAN WEN LAN,NEW CHINA BOOK CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
